'★ Survival Knife | Stained (Factory New)'
'★ Survival Knife | Stained (Field-Tested)'
'★ Survival Knife | Stained (Minimal Wear)'
'★ Talon Knife | Blue Steel (Factory New)'
'★ Talon Knife | Blue Steel (Field-Tested)'
'★ Talon Knife | Blue Steel (Minimal Wear)'
'★ Talon Knife | Fade (Factory New)'
'★ Talon Knife | Slaughter (Factory New)'
'★ Talon Knife | Stained (Factory New)'
'★ Talon Knife | Stained (Field-Tested)'
'★ Talon Knife | Stained (Minimal Wear)'
'★ Talon Knife | Tiger Tooth (Factory New)'
'★ Ursus Knife | Fade (Factory New)'
'★ Ursus Knife | Rust Coat (Battle-Scarred)'
'★ Ursus Knife | Slaughter (Factory New)'
'★ Survival Knife | Slaughter (Factory New)'
'★ Survival Knife | Fade (Factory New)'
'★ Stiletto Knife | Tiger Tooth (Factory New)'
'★ Stiletto Knife | Stained (Factory New)'
'★ Stiletto Knife | Stained (Field-Tested)'
'★ Stiletto Knife | Stained (Minimal Wear)'
'★ Stiletto Knife | Slaughter (Factory New)'
'★ Stiletto Knife | Rust Coat (Battle-Scarred)'
'★ Stiletto Knife | Rust Coat (Well-Worn)'
'★ Stiletto Knife | Fade (Factory New)'
'★ Sport Gloves | Amphibious (Battle-Scarred)'
'★ Sport Gloves | Amphibious (Factory New)'
'★ Sport Gloves | Amphibious (Field-Tested)'
'★ Sport Gloves | Amphibious (Minimal Wear)'
'★ Sport Gloves | Amphibious (Well-Worn)'
'★ Sport Gloves | Arid (Battle-Scarred)'
'★ Sport Gloves | Arid (Factory New)'
'★ Sport Gloves | Arid (Field-Tested)'
'★ Sport Gloves | Arid (Minimal Wear)'
'★ Sport Gloves | Arid (Well-Worn)'
'★ Sport Gloves | Big Game (Battle-Scarred)'
'★ Sport Gloves | Big Game (Factory New)'
'★ Sport Gloves | Big Game (Field-Tested)'
'★ Sport Gloves | Big Game (Minimal Wear)'
'★ Sport Gloves | Big Game (Well-Worn)'
'★ Sport Gloves | Bronze Morph (Battle-Scarred)'
